aircraft_reg_num,Identifier,Flight.Number,Arr.Dep.Flag,New.Bay,TimeNow,Flht_Sch_Date_Frmt,CancelledFlight,delayMinutes,aircraftSwap,flightID,schd_dest,Flht_ETAETD_Date_Frmt,aircraft_reg_num_old,Conflict,IsFlagship,IsPartOfPair,aircraft_type,NewBay_prev,IsUSFlight,BestInsert,PaxConnBestInsert
A0WBY,EK0865_2016-12-28_A_16,EK0865,A,B15,28/12/2016 03:00,28/12/2016 16:15,0,0,,FL-EK-0865-20161228-MCT-DXB-0,DXB,28/12/2016 16:15,A0WBY,0,0,0,B777300,B15,0,none,1.00E+10
A0WBY,EK0544_2016-12-28_D_22,EK0544,D,B15,28/12/2016 03:00,28/12/2016 22:50,0,0,,FL-EK-0544-20161229-DXB-MAA-0,MAA,28/12/2016 22:50,A0WBY,0,0,0,B777300,B15,0,none,1.00E+10
A0WBY,EK0864_2016-12-28_D_12,EK0864,D,F09,28/12/2016 03:00,28/12/2016 12:40,0,0,,FL-EK-0864-20161228-DXB-MCT-0,MCT,28/12/2016 12:40,A0WBY,0,0,0,B777300,F09,0,none,1.00E+10
A0WCA,EK0775_2016-12-28_D_06,EK0775,D,A04,28/12/2016 03:00,28/12/2016 06:40,0,35,,FL-EK-0775-20161228-DXB-DUR-0,DUR,28/12/2016 07:15,A0WCA,0,0,0,B7773ER,A04,0,none,1.00E+10
A0WCC,EK0440_2016-12-28_D_22,EK0440,D,F24,28/12/2016 03:00,28/12/2016 22:00,0,0,,FL-EK-0440-20161229-DXB-ADL-0,ADL,28/12/2016 22:00,A0WCC,0,0,0,B7773ER,F24,0,none,1.00E+10
A0WCC,EK0825_2016-12-28_D_12,EK0825,D,F23,28/12/2016 03:00,28/12/2016 12:00,0,0,,FL-EK-0825-20161228-DXB-DMM-0,DMM,28/12/2016 12:00,A0WCC,0,0,0,B7773ER,F23,0,none,1.00E+10
A0WCC,EK0409_2016-12-28_A_09,EK0409,A,F23,28/12/2016 03:00,28/12/2016 09:05,0,0,,FL-EK-0409-20161228-MEL-DXB-0,DXB,28/12/2016 09:05,A0WCC,0,0,0,B7773ER,F23,0,none,1.00E+10
A0WCC,EK0826_2016-12-28_A_16,EK0826,A,F24,28/12/2016 03:00,28/12/2016 16:20,0,0,,FL-EK-0826-20161228-DMM-DXB-0,DXB,28/12/2016 16:20,A0WCC,0,0,0,B7773ER,F24,0,none,1.00E+10
A0WCD,EK0093_2016-12-28_D_05,EK0093,D,C29,28/12/2016 03:00,28/12/2016 05:10,0,119,,FL-EK-0093-20161228-DXB-BLQ-0,BLQ,28/12/2016 07:09,A0WCD,0,0,0,B7773ER,C29,0,none,1.00E+10
A0WCE,EK0572_2016-12-28_D_09,EK0572,D,F07,28/12/2016 03:00,28/12/2016 09:15,0,0,,FL-EK-0572-20161228-DXB-CCU-0,CCU,28/12/2016 09:15,A0WCE,0,0,0,B7773ER,F07,0,none,1.00E+10
