"flt_id"	"fltNum"	"depStn"	"arrStn"	"utcSTD"	"utcSTA"	"cancelled"	"utcEstOUT"	"utcEstIN"	"utcATD"	"utcATA"	"first"	"business"	"coach"	"ac_registration"
"FL-EK-0061-20161229-DXB-HAM-0"	"0061"	"DXB"	"HAM"	2016-12-29 11:00:00	2016-12-29 18:05:00	"false"	2016-12-29 11:00:00	2016-12-29 18:05:00	NA	NA	0	9	220	"A0WWT"
"FL-EK-0238-20161229-BOS-DXB-0"	"0238"	"BOS"	"DXB"	2016-12-29 03:20:00	2016-12-29 15:30:00	"false"	2016-12-29 03:20:00	2016-12-29 15:30:00	NA	NA	7	37	298	"A0WDA"
"FL-EK-0326-20161227-DXB-INC-0"	"0326"	"DXB"	"INC"	2016-12-27 22:50:00	2016-12-28 05:45:00	"false"	2016-12-27 22:50:00	2016-12-28 05:45:00	NA	NA	0	2	161	"A0WIO"
"FL-EK-0817-20161228-DXB-RUH-0"	"0817"	"DXB"	"RUH"	2016-12-28 14:40:00	2016-12-28 16:40:00	"false"	2016-12-28 14:40:00	2016-12-28 16:40:00	NA	NA	2	15	189	"A0WBI"
"FL-EK-2809-20161228-DXB-MED-0"	"2809"	"DXB"	"MED"	2016-12-28 10:15:00	2016-12-28 13:10:00	"false"	2016-12-28 10:15:00	2016-12-28 13:10:00	NA	NA	1	32	348	"A0WGM"
"FL-EK-0419-20161227-SYD-BKK-0"	"0419"	"SYD"	"BKK"	2016-12-27 08:50:00	2016-12-27 18:10:00	"false"	2016-12-27 08:50:00	2016-12-27 18:10:00	2016-12-27 08:50:00	NA	0	0	8	"A0WFJ"
"FL-EK-0542-20161230-DXB-MAA-0"	"0542"	"DXB"	"MAA"	2016-12-30 17:00:00	2016-12-30 20:45:00	"false"	2016-12-30 17:00:00	2016-12-30 20:45:00	NA	NA	0	30	304	"A0WWD"
"FL-EK-0337-20161229-MNL-DXB-0"	"0337"	"MNL"	"DXB"	2016-12-29 23:05:00	2016-12-30 08:30:00	"false"	2016-12-29 23:05:00	2016-12-30 08:30:00	NA	NA	0	10	230	"A0WCA"
"FL-EK-0705-20161231-DXB-SEZ-0"	"0705"	"DXB"	"SEZ"	2016-12-31 22:30:00	2017-01-01 03:05:00	"false"	2016-12-31 22:30:00	2017-01-01 03:05:00	NA	NA	0	18	115	"A0WWC"
"FL-EK-0855-20161231-DXB-KWI-0"	"0855"	"DXB"	"KWI"	2016-12-31 03:45:00	2016-12-31 05:40:00	"false"	2016-12-31 03:45:00	2016-12-31 05:40:00	NA	NA	2	11	71	"A0WMK"
"FL-EK-0004-20161228-LHR-DXB-0"	"0004"	"LHR"	"DXB"	2016-12-28 20:20:00	2016-12-29 03:05:00	"false"	2016-12-28 20:20:00	2016-12-29 03:05:00	NA	NA	14	74	423	"A0WLQ"
"FL-EK-0650-20161230-DXB-CMB-0"	"0650"	"DXB"	"CMB"	2016-12-30 22:35:00	2016-12-31 02:55:00	"false"	2016-12-30 22:35:00	2016-12-31 02:55:00	NA	NA	6	23	320	"A0WMS"
"FL-EK-0397-20161231-HKT-DXB-0"	"0397"	"HKT"	"DXB"	2016-12-31 02:30:00	2016-12-31 09:15:00	"false"	2016-12-31 02:30:00	2016-12-31 09:15:00	NA	NA	0	38	337	"A0WDV"
"FL-EK-0804-20161228-JED-DXB-0"	"0804"	"JED"	"DXB"	2016-12-28 17:20:00	2016-12-28 20:30:00	"false"	2016-12-28 17:20:00	2016-12-28 20:30:00	NA	NA	12	38	291	"A0WBY"
"FL-EK-0044-20161231-FRA-DXB-0"	"0044"	"FRA"	"DXB"	2016-12-31 08:40:00	2016-12-31 15:00:00	"false"	2016-12-31 08:40:00	2016-12-31 15:00:00	NA	NA	0	9	264	"A0WCU"
"FL-EK-0413-20161229-SYD-DXB-0"	"0413"	"SYD"	"DXB"	2016-12-29 10:45:00	2016-12-30 01:15:00	"false"	2016-12-29 10:45:00	2016-12-30 01:15:00	NA	NA	9	67	391	"A0WLE"
"FL-EK-0502-20161229-DXB-BOM-0"	"0502"	"DXB"	"BOM"	2016-12-29 09:10:00	2016-12-29 12:10:00	"false"	2016-12-29 09:10:00	2016-12-29 12:10:00	NA	NA	1	36	296	"A0WWI"
"FL-EK-0018-20161228-MAN-DXB-0"	"0018"	"MAN"	"DXB"	2016-12-28 13:10:00	2016-12-28 20:25:00	"false"	2016-12-28 13:10:00	2016-12-28 20:25:00	NA	NA	13	75	420	"A0WFB"
"FL-EK-0039-20161230-DXB-BHX-0"	"0039"	"DXB"	"BHX"	2016-12-30 03:25:00	2016-12-30 11:25:00	"false"	2016-12-30 03:25:00	2016-12-30 11:25:00	NA	NA	0	33	509	"A0WVX"
"FL-EK-0413-20161228-CHC-SYD-0"	"0413"	"CHC"	"SYD"	2016-12-28 05:45:00	2016-12-28 09:05:00	"false"	2016-12-28 05:45:00	2016-12-28 09:05:00	NA	NA	0	0	1	"A0WNA"
"FL-EK-0602-20161228-DXB-KHI-0"	"0602"	"DXB"	"KHI"	2016-12-28 14:10:00	2016-12-28 16:05:00	"false"	2016-12-28 14:10:00	2016-12-28 16:05:00	NA	NA	0	39	279	"A0WBF"
"FL-EK-0333-20161229-MNL-DXB-0"	"0333"	"MNL"	"DXB"	2016-12-29 09:40:00	2016-12-29 19:15:00	"false"	2016-12-29 09:40:00	2016-12-29 19:15:00	NA	NA	0	20	361	"A0WGX"
"FL-EK-0787-20161227-DXB-ACC-0"	"0787"	"DXB"	"ACC"	2016-12-27 03:35:00	2016-12-27 12:05:00	"false"	2016-12-27 03:35:00	2016-12-27 12:05:00	2016-12-27 03:35:00	NA	1	15	151	"A0WIW"
"FL-EK-0192-20161229-LIS-DXB-0"	"0192"	"LIS"	"DXB"	2016-12-29 13:35:00	2016-12-29 21:15:00	"false"	2016-12-29 13:35:00	2016-12-29 21:15:00	NA	NA	0	39	371	"A0WWR"
"FL-EK-0303-20161228-PVG-DXB-0"	"0303"	"PVG"	"DXB"	2016-12-28 15:00:00	2016-12-29 01:15:00	"false"	2016-12-28 15:00:00	2016-12-29 01:15:00	NA	NA	2	18	263	"A0WFU"
"FL-EK-0630-20161230-DXB-MUX-0"	"0630"	"DXB"	"MUX"	2016-12-30 11:15:00	2016-12-30 13:55:00	"false"	2016-12-30 11:15:00	2016-12-30 13:55:00	NA	NA	0	26	379	"A0WWK"
"FL-EK-0705-20161229-DXB-SEZ-0"	"0705"	"DXB"	"SEZ"	2016-12-29 22:30:00	2016-12-30 03:05:00	"false"	2016-12-29 22:30:00	2016-12-30 03:05:00	NA	NA	7	29	236	"A0WGJ"
"FL-EK-0546-20161227-DXB-MAA-0"	"0546"	"DXB"	"MAA"	2016-12-27 10:45:00	2016-12-27 14:40:00	"false"	2016-12-27 10:45:00	2016-12-27 14:40:00	2016-12-27 10:45:00	NA	3	23	308	"A0WGU"
"FL-EK-0367-20161229-TPE-DXB-0"	"0367"	"TPE"	"DXB"	2016-12-29 15:45:00	2016-12-30 01:45:00	"false"	2016-12-29 15:45:00	2016-12-30 01:45:00	NA	NA	1	36	296	"A0WLH"
"FL-EK-0757-20161230-DXB-ALG-0"	"0757"	"DXB"	"ALG"	2016-12-30 04:10:00	2016-12-30 11:40:00	"false"	2016-12-30 04:10:00	2016-12-30 11:40:00	NA	NA	4	31	157	"A0WWZ"
"FL-EK-0705-20161227-DXB-SEZ-0"	"0705"	"DXB"	"SEZ"	2016-12-27 22:30:00	2016-12-28 03:05:00	"false"	2016-12-27 22:30:00	2016-12-28 03:05:00	NA	NA	10	43	303	"A0WMX"
"FL-EK-0012-20161230-LGW-DXB-0"	"0012"	"LGW"	"DXB"	2016-12-30 09:40:00	2016-12-30 16:35:00	"false"	2016-12-30 09:40:00	2016-12-30 16:35:00	NA	NA	9	70	416	"A0WVU"
"FL-EK-0071-20161228-DXB-CDG-0"	"0071"	"DXB"	"CDG"	2016-12-28 23:20:00	2016-12-29 07:00:00	"false"	2016-12-28 23:20:00	2016-12-29 07:00:00	NA	NA	1	58	406	"A0WFA"
