"Tail","FlightId","Origin","Destination","STD","STA","ETD","ETA","type"
"A0WBB","EK0111","DXB","BUD","12/27/2016 04:25","12/27/2016 10:40","12/27/2016 04:25","12/27/2016 10:40","delayed"
"A0WBB","EK0112","BUD","DXB","12/27/2016 13:40","12/27/2016 19:05","12/27/2016 13:40","12/27/2016 19:05","delayed"
"A0WBB","EK0111","DXB","BUD","12/27/2016 04:25","12/27/2016 10:40","12/27/2016 04:25","12/27/2016 10:40","delayed"
"A0WBB","EK0112","BUD","DXB","12/27/2016 13:40","12/27/2016 19:05","12/27/2016 13:40","12/27/2016 19:05","delayed"
"A0WBB","EK0111","DXB","BUD","12/27/2016 04:25","12/27/2016 10:40","12/27/2016 04:25","12/27/2016 10:40","delayed"
"A0WBB","EK0112","BUD","DXB","12/27/2016 13:40","12/27/2016 19:05","12/27/2016 13:40","12/27/2016 19:05","delayed"
"A0WBB","EK0111","DXB","BUD","12/27/2016 04:25","12/27/2016 10:40","12/27/2016 04:25","12/27/2016 10:40","delayed"
"A0WBB","EK0112","BUD","DXB","12/27/2016 13:40","12/27/2016 19:05","12/27/2016 13:40","12/27/2016 19:05","delayed"
"A0WLZ","EK0127","DXB","VIE","12/27/2016 05:00","12/27/2016 11:25","12/27/2016 05:00","12/27/2016 11:25","delayed"
"A0WLZ","EK0128","VIE","DXB","12/27/2016 13:55","12/27/2016 19:35","12/27/2016 13:55","12/27/2016 19:35","delayed"
"A0WLZ","EK0127","DXB","VIE","12/27/2016 05:00","12/27/2016 11:25","12/27/2016 05:00","12/27/2016 11:25","delayed"
"A0WLZ","EK0128","VIE","DXB","12/27/2016 13:55","12/27/2016 19:35","12/27/2016 13:55","12/27/2016 19:35","delayed"
"A0WLZ","EK0127","DXB","VIE","12/27/2016 05:00","12/27/2016 11:25","12/27/2016 05:00","12/27/2016 11:25","delayed"
"A0WLZ","EK0128","VIE","DXB","12/27/2016 13:55","12/27/2016 19:35","12/27/2016 13:55","12/27/2016 19:35","delayed"
"A0WLZ","EK0127","DXB","VIE","12/27/2016 05:00","12/27/2016 11:25","12/27/2016 05:00","12/27/2016 11:25","delayed"
"A0WLZ","EK0128","VIE","DXB","12/27/2016 13:55","12/27/2016 19:35","12/27/2016 13:55","12/27/2016 19:35","delayed"
"A0WLZ","EK0127","DXB","VIE","12/27/2016 05:00","12/27/2016 11:25","12/27/2016 05:00","12/27/2016 11:25","delayed"
"A0WLZ","EK0128","VIE","DXB","12/27/2016 13:55","12/27/2016 19:35","12/27/2016 13:55","12/27/2016 19:35","delayed"
"A0WLZ","EK0127","DXB","VIE","12/27/2016 05:00","12/27/2016 11:25","12/27/2016 05:00","12/27/2016 11:25","delayed"
"A0WLZ","EK0128","VIE","DXB","12/27/2016 13:55","12/27/2016 19:35","12/27/2016 13:55","12/27/2016 19:35","delayed"
"A0WLZ","EK0127","DXB","VIE","12/27/2016 05:00","12/27/2016 11:25","12/27/2016 05:00","12/27/2016 11:25","delayed"
"A0WLZ","EK0128","VIE","DXB","12/27/2016 13:55","12/27/2016 19:35","12/27/2016 13:55","12/27/2016 19:35","delayed"
"A0WCD","EK0133","DXB","DME","12/27/2016 06:00","12/27/2016 11:20","12/27/2016 06:00","12/27/2016 11:20","delayed"
"A0WCD","EK0134","DME","DXB","12/27/2016 13:40","12/27/2016 18:55","12/27/2016 13:40","12/27/2016 18:55","delayed"
"A0WCD","EK0133","DXB","DME","12/27/2016 06:00","12/27/2016 11:20","12/27/2016 06:00","12/27/2016 11:20","delayed"
"A0WCD","EK0134","DME","DXB","12/27/2016 13:40","12/27/2016 18:55","12/27/2016 13:40","12/27/2016 18:55","delayed"
"A0WCD","EK0133","DXB","DME","12/27/2016 06:00","12/27/2016 11:20","12/27/2016 06:00","12/27/2016 11:20","delayed"
"A0WCD","EK0134","DME","DXB","12/27/2016 13:40","12/27/2016 18:55","12/27/2016 13:40","12/27/2016 18:55","delayed"
"A0WCD","EK0133","DXB","DME","12/27/2016 06:00","12/27/2016 11:20","12/27/2016 06:00","12/27/2016 11:20","delayed"
"A0WCD","EK0134","DME","DXB","12/27/2016 13:40","12/27/2016 18:55","12/27/2016 13:40","12/27/2016 18:55","delayed"
"A0WCD","EK0133","DXB","DME","12/27/2016 06:00","12/27/2016 11:20","12/27/2016 06:00","12/27/2016 11:20","delayed"
"A0WCD","EK0134","DME","DXB","12/27/2016 13:40","12/27/2016 18:55","12/27/2016 13:40","12/27/2016 18:55","delayed"
"A0WCD","EK0133","DXB","DME","12/27/2016 06:00","12/27/2016 11:20","12/27/2016 06:00","12/27/2016 11:20","delayed"
"A0WCD","EK0134","DME","DXB","12/27/2016 13:40","12/27/2016 18:55","12/27/2016 13:40","12/27/2016 18:55","delayed"
"A0WCD","EK0133","DXB","DME","12/27/2016 06:00","12/27/2016 11:20","12/27/2016 06:00","12/27/2016 11:20","delayed"
"A0WCD","EK0134","DME","DXB","12/27/2016 13:40","12/27/2016 18:55","12/27/2016 13:40","12/27/2016 18:55","delayed"
"A0WDK","EK0237","DXB","BOS","12/27/2016 04:40","12/27/2016 19:00","12/27/2016 04:40","12/27/2016 19:00","delayed"
"A0WDK","EK0237","DXB","BOS","12/27/2016 04:40","12/27/2016 19:00","12/27/2016 04:40","12/27/2016 19:00","delayed"
"A0WDK","EK0237","DXB","BOS","12/27/2016 04:40","12/27/2016 19:00","12/27/2016 04:40","12/27/2016 19:00","delayed"
"A0WDK","EK0237","DXB","BOS","12/27/2016 04:40","12/27/2016 19:00","12/27/2016 04:40","12/27/2016 19:00","delayed"
"A0WDK","EK0237","DXB","BOS","12/27/2016 04:40","12/27/2016 19:00","12/27/2016 04:40","12/27/2016 19:00","delayed"
"A0WDK","EK0237","DXB","BOS","12/27/2016 04:40","12/27/2016 19:00","12/27/2016 04:40","12/27/2016 19:00","delayed"
"A0WDK","EK0237","DXB","BOS","12/27/2016 04:40","12/27/2016 19:00","12/27/2016 04:40","12/27/2016 19:00","delayed"
"A0WDQ","EK0304","DXB","PVG","12/27/2016 05:15","12/27/2016 13:05","12/27/2016 05:15","12/27/2016 13:05","delayed"
"A0WDQ","EK0304","DXB","PVG","12/27/2016 05:15","12/27/2016 13:05","12/27/2016 05:15","12/27/2016 13:05","delayed"
"A0WDQ","EK0304","DXB","PVG","12/27/2016 05:15","12/27/2016 13:05","12/27/2016 05:15","12/27/2016 13:05","delayed"
"A0WDQ","EK0304","DXB","PVG","12/27/2016 05:15","12/27/2016 13:05","12/27/2016 05:15","12/27/2016 13:05","delayed"
"A0WDQ","EK0304","DXB","PVG","12/27/2016 05:15","12/27/2016 13:05","12/27/2016 05:15","12/27/2016 13:05","delayed"
"A0WDQ","EK0304","DXB","PVG","12/27/2016 05:15","12/27/2016 13:05","12/27/2016 05:15","12/27/2016 13:05","delayed"
"A0WDQ","EK0304","DXB","PVG","12/27/2016 05:15","12/27/2016 13:05","12/27/2016 05:15","12/27/2016 13:05","delayed"
"A0WVV","EK0342","DXB","KUL","12/27/2016 06:15","12/27/2016 13:25","12/27/2016 06:15","12/27/2016 13:25","delayed"
"A0WVV","EK0342","DXB","KUL","12/27/2016 06:15","12/27/2016 13:25","12/27/2016 06:15","12/27/2016 13:25","delayed"
"A0WVV","EK0342","DXB","KUL","12/27/2016 06:15","12/27/2016 13:25","12/27/2016 06:15","12/27/2016 13:25","delayed"
"A0WVV","EK0342","DXB","KUL","12/27/2016 06:15","12/27/2016 13:25","12/27/2016 06:15","12/27/2016 13:25","delayed"
"A0WVV","EK0342","DXB","KUL","12/27/2016 06:15","12/27/2016 13:25","12/27/2016 06:15","12/27/2016 13:25","delayed"
"A0WVV","EK0342","DXB","KUL","12/27/2016 06:15","12/27/2016 13:25","12/27/2016 06:15","12/27/2016 13:25","delayed"
"A0WVV","EK0342","DXB","KUL","12/27/2016 06:15","12/27/2016 13:25","12/27/2016 06:15","12/27/2016 13:25","delayed"
"A0WVO","EK0362","DXB","CAN","12/27/2016 06:50","12/27/2016 13:45","12/27/2016 06:50","12/27/2016 13:45","delayed"
"A0WVO","EK0362","DXB","CAN","12/27/2016 06:50","12/27/2016 13:45","12/27/2016 06:50","12/27/2016 13:45","delayed"
"A0WVO","EK0362","DXB","CAN","12/27/2016 06:50","12/27/2016 13:45","12/27/2016 06:50","12/27/2016 13:45","delayed"
"A0WVO","EK0362","DXB","CAN","12/27/2016 06:50","12/27/2016 13:45","12/27/2016 06:50","12/27/2016 13:45","delayed"
"A0WVO","EK0362","DXB","CAN","12/27/2016 06:50","12/27/2016 13:45","12/27/2016 06:50","12/27/2016 13:45","delayed"
"A0WVO","EK0362","DXB","CAN","12/27/2016 06:50","12/27/2016 13:45","12/27/2016 06:50","12/27/2016 13:45","delayed"
"A0WVO","EK0362","DXB","CAN","12/27/2016 06:50","12/27/2016 13:45","12/27/2016 06:50","12/27/2016 13:45","delayed"
"A0WLG","EK0380","DXB","HKG","12/27/2016 06:05","12/27/2016 13:05","12/27/2016 06:05","12/27/2016 13:05","delayed"
"A0WLG","EK0380","DXB","HKG","12/27/2016 06:05","12/27/2016 13:05","12/27/2016 06:05","12/27/2016 13:05","delayed"
"A0WLG","EK0380","DXB","HKG","12/27/2016 06:05","12/27/2016 13:05","12/27/2016 06:05","12/27/2016 13:05","delayed"
"A0WLG","EK0380","DXB","HKG","12/27/2016 06:05","12/27/2016 13:05","12/27/2016 06:05","12/27/2016 13:05","delayed"
"A0WLG","EK0380","DXB","HKG","12/27/2016 06:05","12/27/2016 13:05","12/27/2016 06:05","12/27/2016 13:05","delayed"
"A0WLG","EK0380","DXB","HKG","12/27/2016 06:05","12/27/2016 13:05","12/27/2016 06:05","12/27/2016 13:05","delayed"
"A0WLG","EK0380","DXB","HKG","12/27/2016 06:05","12/27/2016 13:05","12/27/2016 06:05","12/27/2016 13:05","delayed"
"A0WCZ","EK0392","DXB","SGN","12/27/2016 05:40","12/27/2016 12:25","12/27/2016 05:40","12/27/2016 12:25","delayed"
