flt_id,fltNum,depStn,arrStn,utcSTD,utcSTA,cancelled,utcEstOUT,utcEstIN,utcATD,utcATA,first,business,coach,ac_registration
FL-EK-0841-20161229-DXB-DOH-0,841,DXB,DOH,29/12/2016 03:45,29/12/2016 05:05,FALSE,29/12/2016 03:45,29/12/2016 05:05,NA,NA,1,8,93,A0WVW
FL-EK-0847-20161231-DXB-DOH-0,847,DXB,DOH,31/12/2016 22:05,31/12/2016 23:20,FALSE,31/12/2016 22:05,31/12/2016 23:20,NA,NA,0,18,206,A0WWM
FL-EK-0872-20161227-KWI-DXB-0,872,KWI,DXB,27/12/2016 11:15,27/12/2016 12:55,FALSE,27/12/2016 11:15,27/12/2016 12:55,27/12/2016 11:15,NA,1,39,280,A0WGL
FL-EK-0657-20161230-MLE-DXB-0,657,MLE,DXB,30/12/2016 04:15,30/12/2016 08:25,FALSE,30/12/2016 04:15,30/12/2016 08:25,NA,NA,8,38,235,A0WCR
FL-EK-0357-20161231-CGK-DXB-0,357,CGK,DXB,31/12/2016 10:45,31/12/2016 19:15,FALSE,31/12/2016 10:45,31/12/2016 19:15,NA,NA,0,36,302,A0WWJ
FL-EK-0378-20161227-DXB-HKT-0,378,DXB,HKT,27/12/2016 08:45,27/12/2016 14:50,FALSE,27/12/2016 08:45,27/12/2016 14:50,27/12/2016 08:45,NA,8,42,306,A0WMY
FL-EK-0713-20161227-DXB-LUN-0,713,DXB,LUN,27/12/2016 05:25,27/12/2016 12:40,FALSE,27/12/2016 05:25,27/12/2016 12:40,27/12/2016 05:25,NA,0,26,226,A0WMD
FL-EK-0820-20161231-RUH-DXB-0,820,RUH,DXB,31/12/2016 06:35,31/12/2016 08:20,FALSE,31/12/2016 06:35,31/12/2016 08:20,NA,NA,2,7,287,A0WMI
FL-EK-0385-20161231-BKK-DXB-0,385,BKK,DXB,31/12/2016 18:05,01/01/2017 01:00,FALSE,31/12/2016 18:05,01/01/2017 01:00,NA,NA,3,40,254,A0WFM
FL-EK-0412-20161231-DXB-SYD-0,412,DXB,SYD,31/12/2016 06:15,31/12/2016 20:00,FALSE,31/12/2016 06:15,31/12/2016 20:00,NA,NA,4,28,315,A0WNM
