"Tail","FlightId","Origin","Destination","STD","STA","ETD","ETA","type"
"A0WDA","EK0707","DXB","SEZ","12/27/2016 05:55","12/27/2016 10:30","12/27/2016 07:20","12/27/2016 11:55","delayed"
"A0WDA","EK0707","DXB","SEZ","12/27/2016 05:55","12/27/2016 10:30","12/27/2016 07:20","12/27/2016 11:55","delayed"
"A0WDA","EK0707","DXB","SEZ","12/27/2016 05:55","12/27/2016 10:30","12/27/2016 07:20","12/27/2016 11:55","delayed"
"A0WDA","EK0707","DXB","SEZ","12/27/2016 05:55","12/27/2016 10:30","12/27/2016 07:20","12/27/2016 11:55","delayed"
"A0WDA","EK0707","DXB","SEZ","12/27/2016 05:55","12/27/2016 10:30","12/27/2016 07:20","12/27/2016 11:55","delayed"
"A0WDA","EK0707","DXB","SEZ","12/27/2016 05:55","12/27/2016 10:30","12/27/2016 07:20","12/27/2016 11:55","delayed"
"A0WGW","EK0723","DXB","ADD","12/27/2016 06:30","12/27/2016 10:45","12/27/2016 07:20","12/27/2016 11:35","delayed"
"A0WGW","EK0724","ADD","DXB","12/27/2016 12:40","12/27/2016 16:50","12/27/2016 12:50","12/27/2016 17:00","delayed"
"A0WGW","EK0101","DXB","MXP","12/27/2016 23:45","12/28/2016 06:45","12/27/2016 23:45","12/28/2016 06:45","unaffected"
"A0WGW","EK0102","MXP","DXB","12/28/2016 09:10","12/28/2016 15:20","12/28/2016 09:10","12/28/2016 15:20","unaffected"
"A0WGW","EK0723","DXB","ADD","12/27/2016 06:30","12/27/2016 10:45","12/27/2016 07:20","12/27/2016 11:35","delayed"
"A0WGW","EK0724","ADD","DXB","12/27/2016 12:40","12/27/2016 16:50","12/27/2016 12:50","12/27/2016 17:00","delayed"
"A0WGW","EK0723","DXB","ADD","12/27/2016 06:30","12/27/2016 10:45","12/27/2016 07:20","12/27/2016 11:35","delayed"
"A0WGW","EK0724","ADD","DXB","12/27/2016 12:40","12/27/2016 16:50","12/27/2016 12:50","12/27/2016 17:00","delayed"
"A0WGW","EK0723","DXB","ADD","12/27/2016 06:30","12/27/2016 10:45","12/27/2016 07:20","12/27/2016 11:35","delayed"
"A0WGW","EK0724","ADD","DXB","12/27/2016 12:40","12/27/2016 16:50","12/27/2016 12:50","12/27/2016 17:00","delayed"
"A0WGW","EK0723","DXB","ADD","12/27/2016 06:30","12/27/2016 10:45","12/27/2016 07:20","12/27/2016 11:35","delayed"
"A0WGW","EK0724","ADD","DXB","12/27/2016 12:40","12/27/2016 16:50","12/27/2016 12:50","12/27/2016 17:00","delayed"
"A0WGW","EK0723","DXB","ADD","12/27/2016 06:30","12/27/2016 10:45","12/27/2016 07:20","12/27/2016 11:35","delayed"
"A0WGW","EK0724","ADD","DXB","12/27/2016 12:40","12/27/2016 16:50","12/27/2016 12:50","12/27/2016 17:00","delayed"
"A0WGW","EK0723","DXB","ADD","12/27/2016 06:30","12/27/2016 10:45","12/27/2016 07:20","12/27/2016 11:35","delayed"
"A0WGW","EK0724","ADD","DXB","12/27/2016 12:40","12/27/2016 16:50","12/27/2016 12:50","12/27/2016 17:00","delayed"
"A0WGW","EK0723","DXB","ADD","12/27/2016 06:30","12/27/2016 10:45","12/27/2016 07:20","12/27/2016 11:35","delayed"
"A0WGW","EK0724","ADD","DXB","12/27/2016 12:40","12/27/2016 16:50","12/27/2016 12:50","12/27/2016 17:00","delayed"
"A0WGW","EK0723","DXB","ADD","12/27/2016 06:30","12/27/2016 10:45","12/27/2016 07:20","12/27/2016 11:35","delayed"
"A0WGW","EK0724","ADD","DXB","12/27/2016 12:40","12/27/2016 16:50","12/27/2016 12:50","12/27/2016 17:00","delayed"
"A0WGW","EK0723","DXB","ADD","12/27/2016 06:30","12/27/2016 10:45","12/27/2016 07:20","12/27/2016 11:35","delayed"
"A0WGW","EK0724","ADD","DXB","12/27/2016 12:40","12/27/2016 16:50","12/27/2016 12:50","12/27/2016 17:00","delayed"
"A0WGW","EK0723","DXB","ADD","12/27/2016 06:30","12/27/2016 10:45","12/27/2016 07:20","12/27/2016 11:35","delayed"
"A0WGW","EK0724","ADD","DXB","12/27/2016 12:40","12/27/2016 16:50","12/27/2016 12:50","12/27/2016 17:00","delayed"
"A0WGW","EK0723","DXB","ADD","12/27/2016 06:30","12/27/2016 10:45","12/27/2016 07:20","12/27/2016 11:35","delayed"
"A0WGW","EK0724","ADD","DXB","12/27/2016 12:40","12/27/2016 16:50","12/27/2016 12:50","12/27/2016 17:00","delayed"
"A0WGW","EK0723","DXB","ADD","12/27/2016 06:30","12/27/2016 10:45","12/27/2016 07:20","12/27/2016 11:35","delayed"
"A0WGW","EK0724","ADD","DXB","12/27/2016 12:40","12/27/2016 16:50","12/27/2016 12:50","12/27/2016 17:00","delayed"
"A0WGW","EK0723","DXB","ADD","12/27/2016 06:30","12/27/2016 10:45","12/27/2016 07:20","12/27/2016 11:35","delayed"
"A0WGW","EK0724","ADD","DXB","12/27/2016 12:40","12/27/2016 16:50","12/27/2016 12:50","12/27/2016 17:00","delayed"
"A0WMF","EK0763","DXB","JNB","12/27/2016 06:05","12/27/2016 14:20","12/27/2016 07:36","12/27/2016 15:51","delayed"
"A0WMF","EK0764","JNB","DXB","12/27/2016 17:05","12/28/2016 01:05","12/27/2016 17:06","12/28/2016 01:06","delayed"
