,flt_id,fltNum,depStn,arrStn,utcSTD,utcSTA,cancelled,utcEstOUT,utcEstIN,utcATD,utcATA,first,business,coach,ac_registration,new_flt_id
2428,FL-EK-0123-20161230-DXB-IST-0,123,DXB,IST,2016-12-30 06:45:00,2016-12-30 11:50:00,False,2016-12-30 06:45:00,2016-12-30 11:50:00,,,0,18,272,A0WMI,20161230
2429,FL-EK-0901-20161230-DXB-AMM-0,901,DXB,AMM,2016-12-30 04:00:00,2016-12-30 07:40:00,False,2016-12-30 04:00:00,2016-12-30 07:40:00,,,2,13,171,A0WMP,20161230
2430,FL-EK-0247-20161231-DXB-GIG-0,247,DXB,GIG,2016-12-31 03:10:00,2016-12-31 17:50:00,False,2016-12-31 03:10:00,2016-12-31 17:50:00,,,0,6,37,A0WIA,20161231
2431,FL-EK-0433-20161230-SIN-DXB-0,433,SIN,DXB,2016-12-30 01:35:00,2016-12-30 09:00:00,False,2016-12-30 01:35:00,2016-12-30 09:00:00,,,4,30,215,A0WME,20161230
2432,FL-EK-0136-20161228-VCE-DXB-0,136,VCE,DXB,2016-12-28 14:25:00,2016-12-28 20:15:00,False,2016-12-28 14:25:00,2016-12-28 20:15:00,,,0,37,304,A0WMT,20161228
2433,FL-EK-0566-20161227-DXB-BLR-0,566,DXB,BLR,2016-12-27 09:35:00,2016-12-27 13:05:00,False,2016-12-27 09:35:00,2016-12-27 13:05:00,27/12/2016 09:35,,8,33,301,A0WDX,20161227
2434,FL-EK-0516-20161230-DXB-DEL-0,516,DXB,DEL,2016-12-30 06:00:00,2016-12-30 09:15:00,False,2016-12-30 06:00:00,2016-12-30 09:15:00,,,2,21,310,A0WWP,20161230
2435,FL-EK-0525-20161227-HYD-DXB-0,525,HYD,DXB,2016-12-27 22:40:00,2016-12-28 02:40:00,False,2016-12-27 22:40:00,2016-12-28 02:40:00,,,0,27,383,A0WWR,20161227
2436,FL-EK-0653-20161227-CMB-MLE-0,653,CMB,MLE,2016-12-27 14:45:00,2016-12-27 16:25:00,False,2016-12-27 14:45:00,2016-12-27 16:25:00,,,0,0,8,A0WWI,20161227
2437,FL-EK-0819-20161230-DXB-RUH-0,819,DXB,RUH,2016-12-30 03:00:00,2016-12-30 05:00:00,False,2016-12-30 03:00:00,2016-12-30 05:00:00,,,3,6,54,A0WMX,20161230
2438,FL-EK-0882-20161230-DOH-DXB-0,882,DOH,DXB,2016-12-30 18:05:00,2016-12-30 19:30:00,False,2016-12-30 18:05:00,2016-12-30 19:30:00,,,2,1,211,A0WMA,20161230
2439,FL-EK-0613-20161229-ISB-DXB-0,613,ISB,DXB,2016-12-29 07:20:00,2016-12-29 10:55:00,False,2016-12-29 07:20:00,2016-12-29 10:55:00,,,0,36,300,A0WWL,20161229
2440,FL-EK-0615-20161231-ISB-DXB-0,615,ISB,DXB,2016-12-31 20:10:00,2016-12-31 23:40:00,False,2016-12-31 20:10:00,2016-12-31 23:40:00,,,0,35,363,A0WCP,20161231
2441,FL-EK-0213-20161229-DXB-FLL-0,213,DXB,FLL,2016-12-29 23:30:00,2016-12-30 15:55:00,False,2016-12-29 23:30:00,2016-12-30 15:55:00,,,2,13,100,A0WIU,20161229
2442,FL-EK-0107-20161230-LCA-ATH-0,107,LCA,ATH,2016-12-30 10:05:00,2016-12-30 11:50:00,False,2016-12-30 10:05:00,2016-12-30 11:50:00,,,2,2,222,A0WWY,20161230
2443,FL-EK-0336-20161231-DXB-MNL-0,336,DXB,MNL,2016-12-31 12:45:00,2016-12-31 21:00:00,False,2016-12-31 12:45:00,2016-12-31 21:00:00,,,0,16,305,A0WDH,20161231
2444,FL-EK-0092-20161230-MXP-DXB-0,92,MXP,DXB,2016-12-30 20:20:00,2016-12-31 02:25:00,False,2016-12-30 20:20:00,2016-12-31 02:25:00,,,14,72,418,A0WFT,20161230
