Tail,Origin,Destination,STD,STA,ETD,ETA,type,fltNum
A0WDH,ORD,DXB,2016-12-28 01:40:00,2016-12-28 15:00:00,2016-12-28 01:40:00,2016-12-28 15:00:00,unaffected,0236
A0WCZ,DXB,SKT,2016-12-28 02:25:00,2016-12-28 05:25:00,2016-12-28 02:25:00,2016-12-28 05:25:00,unaffected,0620
A0WMF,DXB,CKY,2016-12-28 03:15:00,2016-12-28 13:30:00,2016-12-28 03:15:00,2016-12-28 13:30:00,unaffected,0795
A0WGY,DXB,MHD,2016-12-28 03:20:00,2016-12-28 05:40:00,2016-12-28 03:20:00,2016-12-28 05:40:00,unaffected,0967
A0WCM,DXB,NCL,2016-12-28 03:25:00,2016-12-28 11:20:00,2016-12-28 03:25:00,2016-12-28 11:20:00,unaffected,0035
A0WDV,DXB,LIS,2016-12-28 03:25:00,2016-12-28 12:00:00,2016-12-28 03:25:00,2016-12-28 12:00:00,unaffected,0191
A0WLA,AKL,SYD,2016-12-28 03:30:00,2016-12-28 06:55:00,2016-12-28 03:30:00,2016-12-28 06:55:00,swapped,0419
A0WVO,DXB,LAX,2016-12-28 04:30:00,2016-12-28 20:45:00,2016-12-28 04:30:00,2016-12-28 20:45:00,unaffected,0215
A0WDA,DXB,BOS,2016-12-28 04:40:00,2016-12-28 19:00:00,2016-12-28 04:40:00,2016-12-28 19:00:00,unaffected,0237
A0WNA,CHC,SYD,2016-12-28 05:45:00,2016-12-28 09:05:00,2016-12-28 05:45:00,2016-12-28 09:05:00,unaffected,0413
A0WFW,AKL,MEL,2016-12-28 05:50:00,2016-12-28 09:50:00,2016-12-28 05:50:00,2016-12-28 09:50:00,swapped,0407
A0WCA,DXB,DUR,2016-12-28 06:40:00,2016-12-28 15:05:00,2016-12-28 06:40:00,2016-12-28 15:05:00,unaffected,0775
A0WGY,MHD,DXB,2016-12-28 07:05:00,2016-12-28 09:35:00,2016-12-28 07:05:00,2016-12-28 09:35:00,unaffected,0968
A0WCZ,SKT,DXB,2016-12-28 07:10:00,2016-12-28 10:45:00,2016-12-28 07:10:00,2016-12-28 10:45:00,unaffected,0621
A0WLV,DXB,LHR,2016-12-28 08:10:00,2016-12-28 16:10:00,2016-12-28 08:10:00,2016-12-28 16:10:00,unaffected,0031
A0WLA,SYD,BKK,2016-12-28 08:50:00,2016-12-28 18:10:00,2016-12-28 08:50:00,2016-12-28 18:10:00,swapped,0419
A0WGW,MXP,DXB,2016-12-28 09:10:00,2016-12-28 15:20:00,2016-12-28 09:10:00,2016-12-28 15:20:00,unaffected,0102
A0WGM,DXB,MED,2016-12-28 10:15:00,2016-12-28 13:10:00,2016-12-28 10:15:00,2016-12-28 13:10:00,unaffected,2809
A0WVV,DXB,MAN,2016-12-28 10:40:00,2016-12-28 18:40:00,2016-12-28 10:40:00,2016-12-28 18:40:00,unaffected,0019
A0WLG,DXB,CDG,2016-12-28 10:50:00,2016-12-28 18:30:00,2016-12-28 10:50:00,2016-12-28 18:30:00,unaffected,0075
A0WVL,DXB,LAX,2016-12-28 11:00:00,2016-12-29 03:15:00,2016-12-28 11:00:00,2016-12-29 03:15:00,unaffected,0217
A0WGY,DXB,VIE,2016-12-28 12:50:00,2016-12-28 19:00:00,2016-12-28 12:50:00,2016-12-28 19:00:00,unaffected,0125
A0WGM,MED,DXB,2016-12-28 14:55:00,2016-12-28 17:20:00,2016-12-28 14:55:00,2016-12-28 17:20:00,unaffected,2810
A0WMF,CKY,DKR,2016-12-28 15:10:00,2016-12-28 16:35:00,2016-12-28 15:10:00,2016-12-28 16:35:00,unaffected,0795
A0WCZ,DXB,ISB,2016-12-28 15:35:00,2016-12-28 18:35:00,2016-12-28 15:35:00,2016-12-28 18:35:00,unaffected,0614
A0WDH,DXB,BEY,2016-12-28 16:55:00,2016-12-28 21:20:00,2016-12-28 16:55:00,2016-12-28 21:20:00,unaffected,0955
